Frame,Bounce,Person1_X,Person1_Y,Person2_X,Person2_Y,Ball_Frame_X,Ball_Frame_Y
0,0,721.5,307.5,1071.0,870.0,,
1,0,718.5,304.5,1069.5,883.5,,
2,0,717.0,304.5,1062.0,880.5,1054.5,394.5
3,0,717.0,304.5,1056.0,871.5,1051.5,400.5
4,0,717.0,304.5,1044.0,871.5,1048.5,403.5
5,0,717.0,304.5,1048.5,871.5,1042.5,412.5
6,0,717.0,304.5,1050.0,861.0,1036.5,424.5
7,0,718.5,306.0,1053.0,844.5,1033.5,436.5
8,0,723.0,306.0,1065.0,834.0,1027.5,451.5
9,0,726.0,306.0,1072.5,826.5,1021.5,460.5
10,0,729.0,304.5,1081.5,823.5,1000.5,445.5
11,0,732.0,304.5,1086.0,819.0,973.5,421.5
12,0,735.0,309.0,1086.0,816.0,,
13,0,741.0,312.0,1087.5,817.5,937.5,406.5
14,0,745.5,312.0,1087.5,829.5,925.5,403.5
15,0,748.5,312.0,1077.0,844.5,910.5,403.5
16,0,748.5,312.0,1078.5,846.0,895.5,403.5
17,0,748.5,312.0,1065.0,846.0,880.5,406.5
18,0,748.5,313.5,1059.0,850.5,865.5,412.5
19,0,748.5,315.0,1054.5,847.5,850.5,415.5
20,0,750.0,315.0,1045.5,847.5,,
21,0,750.0,315.0,1044.0,847.5,835.5,355.5
22,0,748.5,316.5,1047.0,843.0,832.5,331.5
23,0,747.0,313.5,1039.5,838.5,823.5,304.5
24,0,745.5,312.0,1029.0,838.5,817.5,283.5
25,0,742.5,313.5,1024.5,840.0,811.5,265.5
26,0,745.5,307.5,1020.0,843.0,802.5,250.5
27,0,745.5,300.0,1015.5,849.0,796.5,238.5
28,0,742.5,301.5,1009.5,852.0,787.5,223.5
29,0,741.0,301.5,1006.5,858.0,784.5,220.5
30,0,733.5,306.0,1000.5,858.0,757.5,208.5
31,0,724.5,306.0,994.5,858.0,,
32,0,718.5,307.5,984.0,862.5,763.5,241.5
33,0,,,969.0,864.0,,
34,0,,,966.0,868.5,748.5,271.5
35,0,,,964.5,873.0,,
36,0,,,966.0,873.0,,
37,0,,,964.5,874.5,730.5,328.5
38,0,,,955.5,879.0,724.5,358.5
39,0,,,939.0,877.5,718.5,382.5
40,0,729.0,318.0,924.0,880.5,715.5,412.5
41,0,,,907.5,889.5,706.5,445.5
42,0,729.0,316.5,898.5,897.0,703.5,475.5
43,0,736.5,316.5,892.5,901.5,697.5,517.5
44,0,744.0,316.5,885.0,904.5,694.5,553.5
45,0,,,879.0,903.0,688.5,595.5
46,0,,,847.5,906.0,685.5,646.5
47,1,772.5,309.0,826.5,904.5,679.5,646.5
48,0,,,807.0,909.0,676.5,643.5
49,0,793.5,313.5,798.0,903.0,670.5,643.5
50,0,801.0,315.0,787.5,906.0,667.5,649.5
51,0,813.0,315.0,763.5,906.0,661.5,655.5
52,0,825.0,313.5,753.0,904.5,658.5,664.5
53,0,831.0,315.0,750.0,904.5,652.5,676.5
54,0,832.5,313.5,747.0,900.0,649.5,691.5
55,0,838.5,312.0,744.0,894.0,646.5,706.5
56,0,846.0,313.5,744.0,895.5,637.5,727.5
57,0,855.0,312.0,741.0,895.5,,
58,0,867.0,307.5,739.5,886.5,,
59,0,876.0,304.5,732.0,892.5,739.5,559.5
60,0,885.0,306.0,727.5,882.0,763.5,511.5
61,0,898.5,306.0,718.5,879.0,793.5,478.5
62,0,906.0,306.0,715.5,877.5,814.5,448.5
63,0,918.0,307.5,709.5,865.5,841.5,415.5
64,0,921.0,306.0,703.5,886.5,865.5,391.5
65,0,919.5,304.5,702.0,886.5,880.5,376.5
66,0,922.5,303.0,697.5,891.0,901.5,361.5
67,0,928.5,303.0,696.0,900.0,916.5,349.5
68,0,936.0,303.0,697.5,898.5,934.5,337.5
69,0,942.0,303.0,699.0,897.0,946.5,334.5
70,0,946.5,301.5,700.5,895.5,955.5,328.5
71,0,951.0,303.0,706.5,895.5,,
72,0,957.0,303.0,708.0,895.5,982.5,328.5
73,0,961.5,300.0,708.0,898.5,994.5,328.5
74,0,964.5,303.0,714.0,901.5,1006.5,331.5
75,0,967.5,301.5,720.0,901.5,1015.5,334.5
76,0,973.5,303.0,733.5,903.0,1027.5,340.5
77,0,981.0,303.0,742.5,910.5,1033.5,346.5
78,1,991.5,301.5,757.5,915.0,1042.5,355.5
79,0,999.0,304.5,769.5,919.5,1051.5,340.5
80,0,1002.0,304.5,775.5,921.0,1054.5,322.5
81,0,1003.5,304.5,781.5,928.5,1060.5,301.5
82,0,1009.5,303.0,783.0,931.5,1066.5,289.5
83,0,1009.5,303.0,781.5,928.5,1072.5,271.5
84,0,1012.5,304.5,789.0,933.0,1078.5,262.5
85,0,1015.5,303.0,793.5,936.0,1078.5,253.5
86,0,1021.5,304.5,796.5,939.0,1087.5,238.5
87,0,1032.0,309.0,799.5,936.0,1093.5,238.5
88,0,1033.5,307.5,802.5,942.0,,
89,0,1024.5,304.5,804.0,945.0,,
90,0,1029.0,303.0,801.0,949.5,,
91,0,1032.0,304.5,799.5,954.0,,
92,0,1042.5,309.0,796.5,960.0,1000.5,253.5
93,0,1047.0,309.0,795.0,967.5,979.5,265.5
94,0,1050.0,309.0,798.0,969.0,955.5,277.5
95,0,1053.0,306.0,802.5,972.0,937.5,286.5
96,0,1060.5,306.0,805.5,970.5,913.5,307.5
97,0,1066.5,304.5,801.0,969.0,895.5,322.5
98,0,1071.0,307.5,789.0,964.5,868.5,340.5
99,0,1074.0,307.5,771.0,961.5,844.5,367.5
100,0,1074.0,307.5,741.0,957.0,823.5,388.5
101,0,1080.0,306.0,718.5,958.5,796.5,421.5
102,0,1084.5,307.5,702.0,957.0,775.5,448.5
103,0,1086.0,306.0,693.0,958.5,745.5,484.5
104,0,1083.0,307.5,682.5,967.5,721.5,520.5
105,0,1081.5,307.5,669.0,970.5,700.5,556.5
106,0,1077.0,306.0,645.0,964.5,670.5,607.5
107,0,1068.0,304.5,622.5,966.0,646.5,643.5
108,0,1057.5,306.0,607.5,966.0,,
109,0,1050.0,306.0,600.0,963.0,,
110,0,1050.0,304.5,579.0,963.0,,
111,0,1050.0,304.5,567.0,966.0,,
112,0,1048.5,304.5,556.5,964.5,,
113,0,1047.0,304.5,550.5,963.0,499.5,748.5
114,0,1047.0,304.5,538.5,960.0,,
115,0,1048.5,304.5,532.5,958.5,451.5,757.5
116,0,1047.0,304.5,520.5,946.5,424.5,769.5
117,0,1048.5,304.5,504.0,945.0,403.5,778.5
118,0,1048.5,304.5,511.5,945.0,439.5,724.5
119,0,1050.0,304.5,514.5,946.5,451.5,673.5
120,0,1056.0,306.0,529.5,957.0,472.5,634.5
121,0,1060.5,303.0,538.5,960.0,496.5,583.5
122,0,1066.5,306.0,543.0,963.0,511.5,547.5
123,0,1069.5,307.5,541.5,967.5,532.5,514.5
124,0,1074.0,307.5,528.0,945.0,553.5,481.5
125,0,1074.0,307.5,523.5,936.0,565.5,457.5
126,0,1074.0,307.5,516.0,936.0,580.5,430.5
127,0,1074.0,307.5,510.0,934.5,592.5,409.5
128,0,1071.0,307.5,514.5,936.0,604.5,388.5
129,0,1071.0,309.0,511.5,934.5,616.5,373.5
130,0,1065.0,307.5,519.0,934.5,628.5,361.5
131,0,1057.5,306.0,525.0,934.5,637.5,343.5
132,0,1047.0,306.0,528.0,931.5,646.5,331.5
133,0,,,534.0,934.5,655.5,319.5
134,0,1035.0,304.5,547.5,939.0,664.5,310.5
135,0,1030.5,306.0,553.5,946.5,667.5,304.5
136,0,1021.5,307.5,556.5,954.0,679.5,295.5
137,0,1006.5,307.5,567.0,958.5,688.5,289.5
138,0,993.0,306.0,589.5,931.5,694.5,283.5
139,0,987.0,307.5,591.0,936.0,703.5,280.5
140,0,982.5,307.5,604.5,934.5,709.5,280.5
141,0,976.5,304.5,627.0,940.5,715.5,277.5
142,0,969.0,303.0,651.0,942.0,721.5,277.5
143,0,958.5,301.5,663.0,942.0,727.5,277.5
144,0,948.0,301.5,673.5,943.5,733.5,277.5
145,0,936.0,300.0,687.0,943.5,733.5,280.5
146,0,928.5,297.0,699.0,940.5,742.5,283.5
147,0,918.0,298.5,709.5,940.5,748.5,283.5
148,0,906.0,300.0,732.0,939.0,751.5,289.5
149,0,897.0,298.5,759.0,936.0,757.5,295.5
150,0,894.0,298.5,784.5,931.5,760.5,301.5
151,0,886.5,300.0,802.5,925.5,763.5,304.5
152,0,882.0,300.0,820.5,922.5,766.5,316.5
153,0,873.0,298.5,834.0,928.5,775.5,319.5
154,1,868.5,298.5,850.5,934.5,775.5,322.5
155,0,862.5,298.5,877.5,934.5,775.5,310.5
156,0,856.5,298.5,909.0,936.0,778.5,301.5
157,0,850.5,300.0,928.5,933.0,781.5,286.5
158,0,849.0,301.5,945.0,931.5,781.5,280.5
159,0,849.0,300.0,951.0,939.0,784.5,274.5
160,0,849.0,298.5,954.0,939.0,784.5,268.5
161,0,847.5,301.5,954.0,939.0,784.5,256.5
162,0,849.0,301.5,955.5,940.5,787.5,256.5
163,0,844.5,300.0,961.5,939.0,787.5,253.5
164,0,847.5,300.0,969.0,939.0,784.5,247.5
165,0,850.5,300.0,978.0,943.5,778.5,244.5
166,0,850.5,300.0,988.5,946.5,775.5,241.5
167,0,843.0,300.0,994.5,954.0,772.5,238.5
168,0,837.0,298.5,1002.0,958.5,772.5,241.5
169,0,837.0,298.5,1005.0,960.0,766.5,241.5
170,0,838.5,297.0,1005.0,961.5,763.5,250.5
171,0,840.0,298.5,1003.5,961.5,760.5,256.5
172,0,841.5,298.5,1003.5,961.5,760.5,271.5
173,0,841.5,298.5,994.5,964.5,757.5,280.5
174,0,843.0,298.5,979.5,967.5,757.5,298.5
175,0,843.0,298.5,973.5,972.0,754.5,316.5
176,0,849.0,297.0,969.0,970.5,757.5,337.5
