Frame,KP1_X,KP1_Y,KP2_X,KP2_Y,KP3_X,KP3_Y,KP4_X,KP4_Y,KP5_X,KP5_Y,KP6_X,KP6_Y,KP7_X,KP7_Y,KP8_X,KP8_Y,KP9_X,KP9_Y,KP10_X,KP10_Y,KP11_X,KP11_Y,KP12_X,KP12_Y,KP13_X,KP13_Y,KP14_X,KP14_Y
0,404.2498474121094,206.88327026367188,875.3173217773438,206.398193359375,161.107421875,563.1790161132812,1119.364990234375,569.8521118164062,462.75665283203125,206.82302856445312,279.0,564.0,815.7297973632812,206.45956420898438,997.0,569.0,439.0,253.0,839.0,253.0,348.58465576171875,428.7448425292969,928.0107421875,431.0214538574219,637.8673095703125,253.0,636.0795288085938,429.8744201660156
1,403.8093566894531,207.15289306640625,874.4845581054688,207.15289306640625,156.22589111328125,565.0,1119.774169921875,565.0,462.80523681640625,207.15289306640625,277.0,565.0,815.4886474609375,207.15289306640625,999.0,565.0,439.0,253.0,839.0,253.0,347.8147277832031,428.6160888671875,929.0595092773438,428.6160888671875,638.7557983398438,253.0,638.082275390625,428.6160888671875
2,400.7216796875,206.6632537841797,878.4950561523438,209.33238220214844,154.62103271484375,565.0,1118.1932373046875,565.0,461.0,207.0,277.0,565.0,819.0,209.0,999.0,565.0,437.175537109375,253.35411071777344,842.42236328125,255.32418823242188,346.60089111328125,429.58087158203125,931.1531372070312,430.81396484375,640.1940307617188,254.341064453125,639.85693359375,430.1994934082031
3,400.9180603027344,206.6643524169922,878.6892700195312,209.33346557617188,155.7633056640625,564.6632080078125,1116.6484375,567.3323364257812,461.0,207.0,277.0,565.0,819.0,209.0,997.0,567.0,437.0882263183594,253.5239715576172,842.1892700195312,255.63905334472656,346.4190979003906,429.9345703125,929.9633178710938,432.1733703613281,639.7133178710938,254.5819091796875,638.5028686523438,431.05517578125
4,400.9180603027344,206.6643524169922,878.6892700195312,209.33346557617188,155.7633056640625,564.6632080078125,1116.6484375,567.3323364257812,461.0,207.0,277.0,565.0,819.0,209.0,997.0,567.0,437.0882263183594,253.5239715576172,842.1892700195312,255.63905334472656,346.4190979003906,429.9345703125,929.9633178710938,432.1733703613281,639.7133178710938,254.5819091796875,638.5028686523438,431.05517578125
5,402.0,210.0,876.093994140625,211.14239501953125,161.0,569.0,1115.276611328125,566.717041015625,461.7563781738281,210.1439971923828,281.96026611328125,568.7106323242188,817.0,211.0,997.0,567.0,438.42840576171875,256.6668701171875,840.452880859375,257.3846130371094,349.87127685546875,433.2760009765625,929.2164916992188,432.939208984375,639.73828125,257.0262756347656,640.3179321289062,433.1071472167969
6,402.0,210.0,876.093994140625,211.14239501953125,161.0,569.0,1115.276611328125,566.717041015625,461.7563781738281,210.1439971923828,281.96026611328125,568.7106323242188,817.0,211.0,997.0,567.0,438.42840576171875,256.6668701171875,840.452880859375,257.3846130371094,349.87127685546875,433.2760009765625,929.2164916992188,432.939208984375,639.73828125,257.0262756347656,640.3179321289062,433.1071472167969
7,403.53045654296875,206.66647338867188,874.4695434570312,206.66647338867188,159.05589294433594,566.9365234375,1118.944091796875,566.9365234375,462.5594177246094,206.66647338867188,279.3712463378906,566.9365234375,815.4405517578125,206.66647338867188,998.6287231445312,566.9365234375,439.0,253.0,839.0,253.0,349.0,430.0,929.0,430.0,638.7557983398438,253.0,638.6459350585938,430.0
8,403.53045654296875,206.66647338867188,874.4695434570312,206.66647338867188,159.05589294433594,566.9365234375,1118.944091796875,566.9365234375,462.5594177246094,206.66647338867188,279.3712463378906,566.9365234375,815.4405517578125,206.66647338867188,998.6287231445312,566.9365234375,439.0,253.0,839.0,253.0,349.0,430.0,929.0,430.0,638.7557983398438,253.0,638.6459350585938,430.0
9,403.58612060546875,208.66432189941406,876.0191040039062,211.33343505859375,155.74072265625,564.6631469726562,1116.626220703125,567.332275390625,463.0,209.0,277.0,565.0,817.0,211.0,997.0,567.0,439.0648193359375,254.8114471435547,840.2227172851562,256.9294128417969,347.6677551269531,429.743408203125,928.7369995117188,431.9909362792969,639.7234497070312,255.87086486816406,638.528564453125,430.8684387207031
