CameraRate,NumMarkers,NumFrames,Time,Frame,CHip_x,RHip_x,RKnee_x,RAnkle_x,RBigToe_x,RSmallToe_x,RHeel_x,LHip_x,LKnee_x,LAnkle_x,LBigToe_x,LSmallToe_x,LHeel_x,Neck_x,X_Head,Nose_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,CHip_y,YRHip_y,RKnee_y,RAnkle_y,RBigToe_y,RSmallToe_y,RHeel_y,LHip_y,LKnee_y,LAnkle_y,LBigToe_y,LSmallToe_y,LHeel_y,YNeck_y,Y_Head,Nose_y,YRShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,YLWrist_y,CHip_z,RHip_z,RKnee_z,RAnkle_z,RBigToe_z,RSmallToe_z,RHeel_z,LHip_z,LKnee_z,LAnkle_z,LBigToe_z,LSmallToe_z,LHeel_z,Neck_z,Z_Head,Nose_z,RShoulder_z,RElbow_z,RWrist_z,LShoulder_z,ZLElbow_z,LWrist_z
25.0,22.0,499.0,0.0,1.0,719.8399480266028,712.1955487797301,704.023992543976,698.752005995223,694.2708364686746,692.4256683094333,699.5428061624793,727.747920583368,739.3462512794623,749.0993835241388,749.6265528139949,753.5805336871582,749.3629952990023,716.6767595853385,714.8315603744327,716.1495441211945,706.396337362723,700.597128959234,711.6683476385778,727.4843074116905,731.4383201777409,729.3293275036401,247.17462568278881,246.120197082237,270.3713691136549,291.7228509444131,297.258389652181,295.9403773505613,295.6768465249482,245.32939033418444,268.262518652628,292.2501235418274,299.6309653082337,298.5765678378865,296.2040968332278,216.86072627873517,196.82717572356913,209.47996939020385,222.13269657967933,238.212238205605,245.8566751914293,219.23314594497123,233.73110314163222,245.06578759540923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.04,2.0,720.7619412857862,713.0010422792827,704.2059106483689,699.0257419898929,694.1964319071107,692.5239777939031,699.5602805503906,728.7334078410604,738.9148134931586,744.8595222165518,745.78303050692,748.9951456682824,744.5233012568467,717.8363584271465,716.2181639052618,717.1265397930595,707.0087010437918,702.4827676338759,713.6944527048025,729.1967387781275,732.3369922885216,727.7966313331942,247.02464869079802,247.501946461046,271.3970475703039,291.47112309388183,297.25779377399056,295.89855950248824,295.13836772754075,246.32373055488415,268.36129781742915,292.26036877504487,300.51211561599786,299.03397630573653,296.185859387837,216.944446691525,198.86142610075427,209.50227195462298,222.14001329439725,238.42278470330157,246.44431787291305,219.95374816840254,234.4526434396589,245.25793004627207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.08,3.0,721.6769863105646,713.9001655084314,704.6254872643365,699.1632087162262,693.9153360649843,692.4311259454496,699.5947784417447,729.6449583338108,738.4872245355989,742.1526709123654,743.7259389294394,746.6453661847409,741.2893253015748,718.9706894892265,717.4361919757157,718.1379246305188,708.1666305045953,704.0454334128577,714.5353979005012,730.5628180581172,733.5864101665172,727.6999112256907,247.968610124968,249.09866019072643,272.18485609548617,291.48766504564037,297.2524747171391,295.8010024306656,295.08196031958795,247.9037642807727,269.24092603472354,293.09949867718854,301.13596515966697,299.6218180670766,297.0452958916957,217.45178567881567,200.1609808080575,209.88218354669831,222.89212402136556,239.12395755671736,247.07759022099208,220.80320083793407,235.61795378062095,246.31749440235524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.12,4.0,722.8031317685086,715.0253847750199,705.4956167952324,699.2899404330714,693.6906832742668,692.2728035100979,699.6292847476942,730.7411064464105,738.3725315695908,741.4030665730822,743.6034498262552,746.4020862726799,740.3737020723545,720.3800954204245,718.8091733843197,719.3712976519984,709.8107577396706,705.4492700338485,714.9745940081085,731.8484832530903,735.4712380381316,729.0133133260998,249.33511722939238,250.00169151809416,272.3331674178351,291.7035971163124,297.1055109482857,295.5606919312006,295.2914792557506,249.0852548456843,270.43840670407974,294.3118148517517,301.39246156045715,300.1557090237922,298.1482415193336,218.11195173945956,200.565031711188,210.51319792442376,223.9647343183792,240.08004157952104,247.73769327635597,221.5948162616258,237.04053253006936,247.47474508723354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.16,5.0,724.3094941666409,716.5130969244451,706.9200803516701,699.4348302889741,693.4597570285373,691.999205663212,699.5535768209331,732.0835981537891,738.8857032861052,741.7449471594653,744.0152413574172,746.7324703724041,740.8524950976384,722.2138785445514,720.6174233558102,721.1417082925255,711.6906285426425,707.0695220408949,716.3161052446881,733.5465622855091,737.8106109397236,731.0968849657254,249.8137016708281,249.93939459865476,271.8950759847334,291.51126976252795,296.9552642242744,295.2557042169683,295.09699779256437,249.19171190268003,271.044185190867,294.87607925953927,301.4072511840767,300.3884604755486,298.5079532194669,218.24407263560957,200.42730889204626,210.64900539166547,224.29007619409205,240.4777208607059,247.9853549840215,221.7677616763107,237.67832768743494,247.24756767249738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.2,6.0,726.0538111495641,718.3454904683997,708.8014260720357,699.2827183182978,692.7850762348028,691.323419651676,699.0178862245986,733.4843622195227,739.8172945589716,742.2304451927017,743.9998096445911,746.8420749638765,741.3891345803215,724.2794719203197,722.6911088190443,723.4388047127683,713.7095530575215,708.9504765382184,718.5127931359516,735.704909594884,740.1862275015764,733.2896369071337,249.04596328412225,249.57571370962773,271.344549111514,290.77847207905114,297.1603221413447,295.14845327694667,294.4157218725428,248.74837245915649,271.1248068454682,294.660424425684,301.4474707438191,300.4318529962359,298.2347352470435,217.4614046278498,199.82434062424534,209.6881280312541,223.41509377921477,239.8054937293757,247.29826193899237,220.92128875917422,236.8425593371157,245.38398637176692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.24,7.0,727.8255218203259,720.3589470248754,710.9837817234239,699.0001930981973,692.5597845142795,691.0632891850696,698.2974332873284,735.0385093267885,740.6587406481528,742.5532706681095,744.0120576335406,747.0136425027355,741.4362694405306,726.3920735265267,724.7476536190142,725.8046533058185,715.8219713423019,710.8524095896662,720.9644642094357,737.9917658025756,742.5237082334063,734.8426256271691,247.7589895846943,248.9182635338018,271.104807232068,290.134299234522,297.6239123213992,295.36998809512124,293.5589311067097,248.065649221427,271.2898114825552,294.54865684731436,301.6168416675067,300.50312087935697,298.24710903155983,216.00040601904493,198.496962548487,207.97585634377174,221.8074798324097,238.31255267362113,246.02632459645784,219.2921645351912,235.20026659079534,243.04035950144336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.28,8.0,729.5298347332648,722.365907401277,713.4198140123253,699.9546206772552,695.069543724363,693.1988485352891,699.0112159511107,736.8449352808207,741.3411474141274,742.7111317485981,744.5302496416366,747.575943308293,741.1606512780415,728.3306160895202,726.6017629165217,727.7109459179836,717.8606126986836,712.5757154896534,723.1536987417185,740.0850383266597,744.8523145093889,735.6332958185072,246.85407455917036,247.90672893223854,271.39061072310744,289.31352476498364,297.72263844619414,295.58088604290066,291.84588944774566,247.26855648136,271.71691555178035,295.04939743110975,301.8647557453725,300.6980467429071,298.9589223016736,214.3109409087429,196.78219816945278,206.26167268008666,220.16374538369877,236.47625630763707,244.8185873757566,217.55761213933698,233.80697613512132,241.30624492623934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.32,9.0,731.0848752098134,724.1348571683152,715.9896270814551,703.072394254382,700.5191930783274,697.9568870394455,702.1185337969182,738.5264179357185,742.2905365932459,742.9537547569705,745.0508741906743,748.1751227828017,741.3301411206853,729.8771528782704,728.1571839910615,728.9614186348524,719.4791017265336,713.9417597938989,724.5544195460898,741.8481851788149,746.8458740898328,735.9575048270236,246.35090589766295,247.01899687150558,271.86940822257947,287.6039424601778,297.01322491739637,295.1099680198934,288.87861296505685,246.62635098650824,271.9577225430934,295.3785162873445,302.2321581585824,301.1924044334119,299.41397523046845,212.81432563632393,195.3707100598016,204.98799981606345,218.77377676003795,234.59293400122226,243.44599080990443,216.3042296406471,232.94619876738403,240.18573616223563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.36,10.0,732.4853823891867,725.5436707833236,718.4938612358088,707.173705882141,705.9643485597744,702.8518745942465,706.2939088771884,739.8352728213474,744.0257371055092,743.9562789760301,744.9392266710811,748.3031805523831,742.76177376087,731.1541261549247,729.4875047000128,729.9378344602196,720.5605711381559,714.9687636185063,725.3443171046283,743.2893598927304,748.198780390713,736.8056384864717,245.84967556147288,246.41368241211134,271.9473204819759,285.980573600313,295.92640770639434,294.0388973334002,286.5743010130748,246.14279706378153,271.4997067933965,294.5881363799368,302.60015895870345,301.855244386726,298.4048498826478,211.92190949300954,194.47308713435788,204.26971681525984,217.77707469322843,233.09004534077462,241.65274137921165,215.7122295075859,232.31445865877413,239.1401952743797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
